2026-09-02 16:53:34 | DEBUG    | rl_lib.training.callbacks.checkpoints_save | CheckpointsSaveCallback created with intervals=200
2026-09-02 16:58:33 | DEBUG    | rl_lib.tracking.console_logger | Step 10239: {'rollout/returns': '-0.703836', 'rollout/advantages_mean': '-0.937644', 'rollout/advantages_std': '1.464652', 'rollout/critic_values': '0.233808', 'rollout/old_log_probs': '-0.127405', 'rollout/action_mean_0': '0.042202', 'rollout/action_mean_1': '0.556763', 'rollout/action_mean_2': '0.457025', 'rollout/action_std_0': '0.478479', 'rollout/action_std_1': '0.235161', 'rollout/action_std_2': '0.236539', 'rollout/explained_variance': '0.190644', 'training/entropy_coef': '0.009950', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003736', 'metrics/ratio_max': '1.262338', 'metrics/clip_fraction': '0.028379', 'metrics/approx_kl_0': '0.000120', 'metrics/approx_kl_1': '0.002353', 'metrics/approx_kl_2': '0.001249', 'metrics/actor_loss': '-0.002443', 'loss/critic': '0.875072', 'metrics/entropy_0': '0.920438', 'metrics/entropy_1': '0.911682', 'metrics/entropy_2': '0.915680', 'loss/entropy': '2.747800', 'metrics/log_std_0': '-0.498501', 'metrics/log_std_1': '-0.507256', 'metrics/log_std_2': '-0.503258', 'loss/total': '0.407724', 'grad_norm/cnn': '1.417248', 'grad_norm/sequence_encoder': '1.202947', 'grad_norm/actor': '1.839723', 'grad_norm/critic': '0.452263', 'metrics/grad_norm/max': '2.779310'}
2026-09-02 16:58:33 | DEBUG    | rl_lib.tracking.console_logger | Step 10018: {'episode/returns': '-20.743586', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 16:59:29 | DEBUG    | rl_lib.tracking.console_logger | Step 12287: {'rollout/returns': '-0.925023', 'rollout/advantages_mean': '-0.937297', 'rollout/advantages_std': '1.542030', 'rollout/critic_values': '0.012273', 'rollout/old_log_probs': '-0.120783', 'rollout/action_mean_0': '0.025946', 'rollout/action_mean_1': '0.574304', 'rollout/action_mean_2': '0.445724', 'rollout/action_std_0': '0.477370', 'rollout/action_std_1': '0.233974', 'rollout/action_std_2': '0.236749', 'rollout/explained_variance': '0.257377', 'training/entropy_coef': '0.009940', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.004130', 'metrics/ratio_max': '1.289535', 'metrics/clip_fraction': '0.034892', 'metrics/approx_kl_0': '0.000651', 'metrics/approx_kl_1': '0.001702', 'metrics/approx_kl_2': '0.001724', 'metrics/actor_loss': '-0.003928', 'loss/critic': '0.927625', 'metrics/entropy_0': '0.920677', 'metrics/entropy_1': '0.910278', 'metrics/entropy_2': '0.915092', 'loss/entropy': '2.746047', 'metrics/log_std_0': '-0.498262', 'metrics/log_std_1': '-0.508660', 'metrics/log_std_2': '-0.503846', 'loss/total': '0.432562', 'grad_norm/cnn': '1.639959', 'grad_norm/sequence_encoder': '1.082185', 'grad_norm/actor': '1.861506', 'grad_norm/critic': '0.402004', 'metrics/grad_norm/max': '2.868138'}
2026-09-02 16:59:29 | DEBUG    | rl_lib.tracking.console_logger | Step 12022: {'episode/returns': '-23.046970', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 17:00:25 | DEBUG    | rl_lib.tracking.console_logger | Step 14335: {'rollout/returns': '-1.042453', 'rollout/advantages_mean': '-0.900707', 'rollout/advantages_std': '1.649361', 'rollout/critic_values': '-0.141746', 'rollout/old_log_probs': '-0.110811', 'rollout/action_mean_0': '0.047378', 'rollout/action_mean_1': '0.589212', 'rollout/action_mean_2': '0.432467', 'rollout/action_std_0': '0.475489', 'rollout/action_std_1': '0.231573', 'rollout/action_std_2': '0.233886', 'rollout/explained_variance': '0.309693', 'training/entropy_coef': '0.009930', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003289', 'metrics/ratio_max': '1.281706', 'metrics/clip_fraction': '0.021723', 'metrics/approx_kl_0': '0.000589', 'metrics/approx_kl_1': '0.000483', 'metrics/approx_kl_2': '0.002250', 'metrics/actor_loss': '-0.002327', 'loss/critic': '0.988897', 'metrics/entropy_0': '0.921397', 'metrics/entropy_1': '0.908811', 'metrics/entropy_2': '0.914421', 'loss/entropy': '2.744629', 'metrics/log_std_0': '-0.497542', 'metrics/log_std_1': '-0.510127', 'metrics/log_std_2': '-0.504518', 'loss/total': '0.464839', 'grad_norm/cnn': '1.971292', 'grad_norm/sequence_encoder': '1.054340', 'grad_norm/actor': '1.977684', 'grad_norm/critic': '0.386221', 'metrics/grad_norm/max': '3.133125'}
2026-09-02 17:00:25 | DEBUG    | rl_lib.tracking.console_logger | Step 14026: {'episode/returns': '-23.057478', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 17:01:21 | DEBUG    | rl_lib.tracking.console_logger | Step 16383: {'rollout/returns': '-1.128981', 'rollout/advantages_mean': '-0.825535', 'rollout/advantages_std': '1.673268', 'rollout/critic_values': '-0.303446', 'rollout/old_log_probs': '-0.101953', 'rollout/action_mean_0': '0.065386', 'rollout/action_mean_1': '0.590008', 'rollout/action_mean_2': '0.417849', 'rollout/action_std_0': '0.477014', 'rollout/action_std_1': '0.227845', 'rollout/action_std_2': '0.233989', 'rollout/explained_variance': '0.431608', 'training/entropy_coef': '0.009920', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003730', 'metrics/ratio_max': '1.300241', 'metrics/clip_fraction': '0.029375', 'metrics/approx_kl_0': '0.000224', 'metrics/approx_kl_1': '0.000616', 'metrics/approx_kl_2': '0.002878', 'metrics/actor_loss': '-0.004063', 'loss/critic': '0.974134', 'metrics/entropy_0': '0.922286', 'metrics/entropy_1': '0.907487', 'metrics/entropy_2': '0.914286', 'loss/entropy': '2.744059', 'metrics/log_std_0': '-0.496653', 'metrics/log_std_1': '-0.511451', 'metrics/log_std_2': '-0.504652', 'loss/total': '0.455755', 'grad_norm/cnn': '2.366915', 'grad_norm/sequence_encoder': '1.059099', 'grad_norm/actor': '2.046793', 'grad_norm/critic': '0.390507', 'metrics/grad_norm/max': '3.454121'}
2026-09-02 17:01:21 | DEBUG    | rl_lib.tracking.console_logger | Step 16030: {'episode/returns': '-18.807330', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 17:02:17 | DEBUG    | rl_lib.tracking.console_logger | Step 18431: {'rollout/returns': '-1.029806', 'rollout/advantages_mean': '-0.739462', 'rollout/advantages_std': '1.697997', 'rollout/critic_values': '-0.290345', 'rollout/old_log_probs': '-0.099893', 'rollout/action_mean_0': '0.060612', 'rollout/action_mean_1': '0.589692', 'rollout/action_mean_2': '0.399462', 'rollout/action_std_0': '0.478627', 'rollout/action_std_1': '0.231607', 'rollout/action_std_2': '0.233257', 'rollout/explained_variance': '0.525352', 'training/entropy_coef': '0.009910', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003512', 'metrics/ratio_max': '1.302417', 'metrics/clip_fraction': '0.027818', 'metrics/approx_kl_0': '0.000313', 'metrics/approx_kl_1': '0.000910', 'metrics/approx_kl_2': '0.002301', 'metrics/actor_loss': '-0.003250', 'loss/critic': '0.968605', 'metrics/entropy_0': '0.923072', 'metrics/entropy_1': '0.906419', 'metrics/entropy_2': '0.914029', 'loss/entropy': '2.743520', 'metrics/log_std_0': '-0.495867', 'metrics/log_std_1': '-0.512520', 'metrics/log_std_2': '-0.504910', 'loss/total': '0.453836', 'grad_norm/cnn': '3.047543', 'grad_norm/sequence_encoder': '1.200723', 'grad_norm/actor': '2.081153', 'grad_norm/critic': '0.440819', 'metrics/grad_norm/max': '4.033931'}
2026-09-02 17:02:17 | DEBUG    | rl_lib.tracking.console_logger | Step 18034: {'episode/returns': '-15.716385', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 17:03:12 | DEBUG    | rl_lib.tracking.console_logger | Step 20479: {'rollout/returns': '-1.394240', 'rollout/advantages_mean': '-0.852477', 'rollout/advantages_std': '1.818481', 'rollout/critic_values': '-0.541763', 'rollout/old_log_probs': '-0.091041', 'rollout/action_mean_0': '0.062518', 'rollout/action_mean_1': '0.594344', 'rollout/action_mean_2': '0.399446', 'rollout/action_std_0': '0.478332', 'rollout/action_std_1': '0.229894', 'rollout/action_std_2': '0.234049', 'rollout/explained_variance': '0.577975', 'training/entropy_coef': '0.009900', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003612', 'metrics/ratio_max': '1.307066', 'metrics/clip_fraction': '0.027982', 'metrics/approx_kl_0': '0.000453', 'metrics/approx_kl_1': '0.000761', 'metrics/approx_kl_2': '0.002376', 'metrics/actor_loss': '-0.002775', 'loss/critic': '1.109047', 'metrics/entropy_0': '0.923024', 'metrics/entropy_1': '0.905483', 'metrics/entropy_2': '0.913347', 'loss/entropy': '2.741855', 'metrics/log_std_0': '-0.495915', 'metrics/log_std_1': '-0.513455', 'metrics/log_std_2': '-0.505591', 'loss/total': '0.524575', 'grad_norm/cnn': '2.555994', 'grad_norm/sequence_encoder': '0.960318', 'grad_norm/actor': '2.117725', 'grad_norm/critic': '0.335775', 'metrics/grad_norm/max': '3.599414'}
2026-09-02 17:03:12 | DEBUG    | rl_lib.tracking.console_logger | Step 20038: {'episode/returns': '-21.662703', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
