2026-08-23 14:37:34 | DEBUG    | src.rl_lib.tracking.console_logger | Step 176: {'metrics/approx_kl': '0.010295', 'loss/actor': '-0.001903', 'loss/critic': '0.917936', 'metrics/entropy_0': '0.918014', 'metrics/entropy_1': '0.908453', 'metrics/entropy_2': '0.919846', 'loss/entropy': '2.746313', 'loss/total': '0.454318'}
2026-08-23 14:37:48 | DEBUG    | src.rl_lib.tracking.console_logger | Step 3004: {'episode/returns': '-25.924086', 'episode/lengths': '1000.000000'}
2026-08-23 14:37:54 | DEBUG    | src.rl_lib.tracking.console_logger | Step 176: {'rollout/returns': '-4.104406', 'rollout/advantages': '-1.496678'}
2026-08-23 14:38:01 | DEBUG    | src.rl_lib.tracking.console_logger | Step 192: {'metrics/approx_kl': '0.005143', 'loss/actor': '-0.002748', 'loss/critic': '2.310233', 'metrics/entropy_0': '0.917384', 'metrics/entropy_1': '0.908131', 'metrics/entropy_2': '0.918748', 'loss/entropy': '2.744262', 'loss/total': '1.149625'}
2026-08-23 14:38:22 | DEBUG    | src.rl_lib.tracking.console_logger | Step 192: {'rollout/returns': '-1.270302', 'rollout/advantages': '0.264671'}
2026-08-23 14:38:28 | DEBUG    | src.rl_lib.tracking.console_logger | Step 208: {'metrics/approx_kl': '0.015085', 'loss/actor': '0.004956', 'loss/critic': '0.736186', 'metrics/entropy_0': '0.916219', 'metrics/entropy_1': '0.907624', 'metrics/entropy_2': '0.918029', 'loss/entropy': '2.741872', 'loss/total': '0.370307'}
2026-08-23 14:38:41 | DEBUG    | src.rl_lib.tracking.console_logger | Step 3505: {'episode/returns': '-29.024892', 'episode/lengths': '1000.000000'}
2026-08-23 14:38:48 | DEBUG    | src.rl_lib.tracking.console_logger | Step 208: {'rollout/returns': '-4.258485', 'rollout/advantages': '-1.507692'}
2026-08-23 14:38:55 | DEBUG    | src.rl_lib.tracking.console_logger | Step 224: {'metrics/approx_kl': '0.020491', 'loss/actor': '-0.002000', 'loss/critic': '2.168803', 'metrics/entropy_0': '0.915719', 'metrics/entropy_1': '0.907248', 'metrics/entropy_2': '0.917607', 'loss/entropy': '2.740574', 'loss/total': '1.079660'}
2026-08-23 14:39:15 | DEBUG    | src.rl_lib.tracking.console_logger | Step 224: {'rollout/returns': '-1.663731', 'rollout/advantages': '-0.092565'}
2026-08-23 14:39:22 | DEBUG    | src.rl_lib.tracking.console_logger | Step 240: {'metrics/approx_kl': '0.021059', 'loss/actor': '-0.005917', 'loss/critic': '0.542158', 'metrics/entropy_0': '0.915016', 'metrics/entropy_1': '0.906273', 'metrics/entropy_2': '0.917009', 'loss/entropy': '2.738298', 'loss/total': '0.262424'}
2026-08-23 14:39:35 | DEBUG    | src.rl_lib.tracking.console_logger | Step 4006: {'episode/returns': '-18.054991', 'episode/lengths': '1000.000000'}
2026-08-23 14:39:43 | DEBUG    | src.rl_lib.tracking.console_logger | Step 240: {'rollout/returns': '-1.989926', 'rollout/advantages': '-0.111186'}
2026-08-23 14:39:50 | DEBUG    | src.rl_lib.tracking.console_logger | Step 256: {'metrics/approx_kl': '0.017197', 'loss/actor': '0.010735', 'loss/critic': '1.141488', 'metrics/entropy_0': '0.912937', 'metrics/entropy_1': '0.905224', 'metrics/entropy_2': '0.917070', 'loss/entropy': '2.735232', 'loss/total': '0.578743'}
2026-08-23 14:40:09 | DEBUG    | src.rl_lib.tracking.console_logger | Step 256: {'rollout/returns': '-1.375456', 'rollout/advantages': '0.122116'}
2026-08-23 14:40:15 | DEBUG    | src.rl_lib.tracking.console_logger | Step 272: {'metrics/approx_kl': '0.006124', 'loss/actor': '-0.004162', 'loss/critic': '1.069045', 'metrics/entropy_0': '0.912018', 'metrics/entropy_1': '0.906142', 'metrics/entropy_2': '0.917634', 'loss/entropy': '2.735794', 'loss/total': '0.527624'}
2026-08-23 14:40:31 | DEBUG    | src.rl_lib.tracking.console_logger | Step 4507: {'episode/returns': '-24.329075', 'episode/lengths': '1000.000000'}
2026-08-23 14:40:40 | DEBUG    | src.rl_lib.tracking.console_logger | Step 272: {'rollout/returns': '-2.874530', 'rollout/advantages': '-0.555044'}
2026-08-23 14:40:48 | DEBUG    | src.rl_lib.tracking.console_logger | Step 288: {'metrics/approx_kl': '0.005732', 'loss/actor': '0.002724', 'loss/critic': '1.315569', 'metrics/entropy_0': '0.912246', 'metrics/entropy_1': '0.907063', 'metrics/entropy_2': '0.918348', 'loss/entropy': '2.737657', 'loss/total': '0.657771'}
2026-08-23 14:41:13 | DEBUG    | src.rl_lib.tracking.console_logger | Step 288: {'rollout/returns': '-2.143634', 'rollout/advantages': '-0.887704'}
2026-08-23 14:41:20 | DEBUG    | src.rl_lib.tracking.console_logger | Step 304: {'metrics/approx_kl': '0.008580', 'loss/actor': '-0.010782', 'loss/critic': '1.099495', 'metrics/entropy_0': '0.912296', 'metrics/entropy_1': '0.907833', 'metrics/entropy_2': '0.919048', 'loss/entropy': '2.739176', 'loss/total': '0.536226'}
2026-08-23 14:41:32 | DEBUG    | src.rl_lib.tracking.console_logger | Step 5008: {'episode/returns': '-32.027194', 'episode/lengths': '1000.000000'}
2026-08-23 14:41:42 | DEBUG    | src.rl_lib.tracking.console_logger | Step 304: {'rollout/returns': '-2.024526', 'rollout/advantages': '0.044289'}
2026-08-23 14:41:49 | DEBUG    | src.rl_lib.tracking.console_logger | Step 320: {'metrics/approx_kl': '0.011832', 'loss/actor': '-0.009544', 'loss/critic': '1.633050', 'metrics/entropy_0': '0.911674', 'metrics/entropy_1': '0.908206', 'metrics/entropy_2': '0.919776', 'loss/entropy': '2.739656', 'loss/total': '0.804242'}
2026-08-23 14:42:08 | DEBUG    | src.rl_lib.tracking.console_logger | Step 320: {'rollout/returns': '-0.861301', 'rollout/advantages': '0.489122'}
2026-08-23 14:42:15 | DEBUG    | src.rl_lib.tracking.console_logger | Step 336: {'metrics/approx_kl': '0.014603', 'loss/actor': '-0.003356', 'loss/critic': '1.469367', 'metrics/entropy_0': '0.911213', 'metrics/entropy_1': '0.909050', 'metrics/entropy_2': '0.920850', 'loss/entropy': '2.741113', 'loss/total': '0.728586'}
2026-08-23 14:42:24 | DEBUG    | src.rl_lib.tracking.console_logger | Step 5509: {'episode/returns': '11.346166', 'episode/lengths': '1000.000000'}
2026-08-23 14:42:36 | DEBUG    | src.rl_lib.tracking.console_logger | Step 336: {'rollout/returns': '-1.673119', 'rollout/advantages': '0.157180'}
2026-08-23 14:42:42 | DEBUG    | src.rl_lib.tracking.console_logger | Step 352: {'metrics/approx_kl': '0.034574', 'loss/actor': '0.002189', 'loss/critic': '1.283504', 'metrics/entropy_0': '0.911192', 'metrics/entropy_1': '0.909850', 'metrics/entropy_2': '0.921267', 'loss/entropy': '2.742309', 'loss/total': '0.641199'}
2026-08-23 14:43:01 | DEBUG    | src.rl_lib.tracking.console_logger | Step 352: {'rollout/returns': '-2.409643', 'rollout/advantages': '-1.894540'}
2026-08-23 14:43:08 | DEBUG    | src.rl_lib.tracking.console_logger | Step 368: {'metrics/approx_kl': '0.009146', 'loss/actor': '-0.004461', 'loss/critic': '0.547312', 'metrics/entropy_0': '0.912834', 'metrics/entropy_1': '0.911431', 'metrics/entropy_2': '0.920887', 'loss/entropy': '2.745153', 'loss/total': '0.266449'}
2026-08-23 14:43:19 | DEBUG    | src.rl_lib.tracking.console_logger | Step 6010: {'episode/returns': '-44.690155', 'episode/lengths': '1000.000000'}
2026-08-23 14:43:29 | DEBUG    | src.rl_lib.tracking.console_logger | Step 368: {'rollout/returns': '-3.619165', 'rollout/advantages': '-0.157328'}
2026-08-23 14:43:36 | DEBUG    | src.rl_lib.tracking.console_logger | Step 384: {'metrics/approx_kl': '0.013629', 'loss/actor': '-0.008863', 'loss/critic': '2.134397', 'metrics/entropy_0': '0.913487', 'metrics/entropy_1': '0.909565', 'metrics/entropy_2': '0.920955', 'loss/entropy': '2.744007', 'loss/total': '1.055592'}
2026-08-23 14:43:56 | DEBUG    | src.rl_lib.tracking.console_logger | Step 384: {'rollout/returns': '-1.711674', 'rollout/advantages': '-0.718878'}
2026-08-23 14:44:02 | DEBUG    | src.rl_lib.tracking.console_logger | Step 400: {'metrics/approx_kl': '0.020794', 'loss/actor': '0.002509', 'loss/critic': '0.939462', 'metrics/entropy_0': '0.912685', 'metrics/entropy_1': '0.907570', 'metrics/entropy_2': '0.921396', 'loss/entropy': '2.741652', 'loss/total': '0.469499'}
2026-08-23 14:44:12 | DEBUG    | src.rl_lib.tracking.console_logger | Step 6511: {'episode/returns': '-23.633094', 'episode/lengths': '1000.000000'}
2026-08-23 14:44:22 | DEBUG    | src.rl_lib.tracking.console_logger | Step 400: {'rollout/returns': '-3.419205', 'rollout/advantages': '0.158492'}
2026-08-23 14:44:29 | DEBUG    | src.rl_lib.tracking.console_logger | Step 416: {'metrics/approx_kl': '0.023371', 'loss/actor': '0.013825', 'loss/critic': '1.535451', 'metrics/entropy_0': '0.912451', 'metrics/entropy_1': '0.906080', 'metrics/entropy_2': '0.921923', 'loss/entropy': '2.740453', 'loss/total': '0.778810'}
2026-08-23 14:44:49 | DEBUG    | src.rl_lib.tracking.console_logger | Step 416: {'rollout/returns': '-2.085150', 'rollout/advantages': '-1.332279'}
2026-08-23 14:44:55 | DEBUG    | src.rl_lib.tracking.console_logger | Step 432: {'metrics/approx_kl': '0.017455', 'loss/actor': '0.006231', 'loss/critic': '0.931425', 'metrics/entropy_0': '0.912728', 'metrics/entropy_1': '0.904822', 'metrics/entropy_2': '0.922491', 'loss/entropy': '2.740041', 'loss/total': '0.469203'}
2026-08-23 14:45:03 | DEBUG    | src.rl_lib.tracking.console_logger | Step 7012: {'episode/returns': '-30.552206', 'episode/lengths': '1000.000000'}
2026-08-23 14:45:15 | DEBUG    | src.rl_lib.tracking.console_logger | Step 432: {'rollout/returns': '-3.852520', 'rollout/advantages': '-0.115918'}
2026-08-23 14:45:22 | DEBUG    | src.rl_lib.tracking.console_logger | Step 448: {'metrics/approx_kl': '0.029507', 'loss/actor': '0.001590', 'loss/critic': '2.207565', 'metrics/entropy_0': '0.910442', 'metrics/entropy_1': '0.903899', 'metrics/entropy_2': '0.921836', 'loss/entropy': '2.736177', 'loss/total': '1.102636'}
2026-08-23 14:45:43 | DEBUG    | src.rl_lib.tracking.console_logger | Step 448: {'rollout/returns': '-1.885169', 'rollout/advantages': '-1.000965'}
2026-08-23 14:45:50 | DEBUG    | src.rl_lib.tracking.console_logger | Step 464: {'metrics/approx_kl': '0.007849', 'loss/actor': '-0.007899', 'loss/critic': '0.622573', 'metrics/entropy_0': '0.909033', 'metrics/entropy_1': '0.903751', 'metrics/entropy_2': '0.921550', 'loss/entropy': '2.734334', 'loss/total': '0.300653'}
2026-08-23 14:45:58 | DEBUG    | src.rl_lib.tracking.console_logger | Step 7513: {'episode/returns': '-26.564723', 'episode/lengths': '1000.000000'}
2026-08-23 14:46:13 | DEBUG    | src.rl_lib.tracking.console_logger | Step 464: {'rollout/returns': '-3.091716', 'rollout/advantages': '-0.038411'}
2026-08-23 14:46:20 | DEBUG    | src.rl_lib.tracking.console_logger | Step 480: {'metrics/approx_kl': '0.008261', 'loss/actor': '-0.003465', 'loss/critic': '1.645088', 'metrics/entropy_0': '0.908514', 'metrics/entropy_1': '0.903356', 'metrics/entropy_2': '0.921767', 'loss/entropy': '2.733637', 'loss/total': '0.816346'}
2026-08-23 14:46:42 | DEBUG    | src.rl_lib.tracking.console_logger | Step 480: {'rollout/returns': '-1.865660', 'rollout/advantages': '-0.907106'}
2026-08-23 14:46:47 | DEBUG    | src.rl_lib.tracking.console_logger | Step 496: {'metrics/approx_kl': '0.010992', 'loss/actor': '-0.007842', 'loss/critic': '0.543482', 'metrics/entropy_0': '0.909070', 'metrics/entropy_1': '0.903659', 'metrics/entropy_2': '0.921518', 'loss/entropy': '2.734247', 'loss/total': '0.261164'}
2026-08-23 14:46:54 | DEBUG    | src.rl_lib.tracking.console_logger | Step 8014: {'episode/returns': '-24.341977', 'episode/lengths': '1000.000000'}
2026-08-23 14:47:10 | DEBUG    | src.rl_lib.tracking.console_logger | Step 496: {'rollout/returns': '-2.580167', 'rollout/advantages': '0.409560'}
2026-08-23 14:47:15 | DEBUG    | src.rl_lib.tracking.console_logger | Step 512: {'metrics/approx_kl': '0.010572', 'loss/actor': '-0.001653', 'loss/critic': '1.293495', 'metrics/entropy_0': '0.909343', 'metrics/entropy_1': '0.903277', 'metrics/entropy_2': '0.921398', 'loss/entropy': '2.734018', 'loss/total': '0.642360'}
2026-08-23 14:47:36 | DEBUG    | src.rl_lib.tracking.console_logger | Step 512: {'rollout/returns': '-1.657591', 'rollout/advantages': '-0.422969'}
2026-08-23 14:47:41 | DEBUG    | src.rl_lib.tracking.console_logger | Step 528: {'metrics/approx_kl': '0.009297', 'loss/actor': '-0.002304', 'loss/critic': '0.545746', 'metrics/entropy_0': '0.909119', 'metrics/entropy_1': '0.902848', 'metrics/entropy_2': '0.922713', 'loss/entropy': '2.734680', 'loss/total': '0.267835'}
2026-08-23 14:47:47 | DEBUG    | src.rl_lib.tracking.console_logger | Step 8515: {'episode/returns': '-1.045377', 'episode/lengths': '1000.000000'}
2026-08-23 14:48:05 | DEBUG    | src.rl_lib.tracking.console_logger | Step 528: {'rollout/returns': '-1.420914', 'rollout/advantages': '0.459155'}
2026-08-23 14:48:10 | DEBUG    | src.rl_lib.tracking.console_logger | Step 544: {'metrics/approx_kl': '0.013046', 'loss/actor': '-0.000507', 'loss/critic': '0.866708', 'metrics/entropy_0': '0.908067', 'metrics/entropy_1': '0.904320', 'metrics/entropy_2': '0.923418', 'loss/entropy': '2.735804', 'loss/total': '0.430112'}
2026-08-23 14:48:31 | DEBUG    | src.rl_lib.tracking.console_logger | Step 544: {'rollout/returns': '-1.785554', 'rollout/advantages': '-0.821490'}
2026-08-23 14:48:36 | DEBUG    | src.rl_lib.tracking.console_logger | Step 560: {'metrics/approx_kl': '0.005398', 'loss/actor': '-0.007444', 'loss/critic': '0.536657', 'metrics/entropy_0': '0.906719', 'metrics/entropy_1': '0.905571', 'metrics/entropy_2': '0.922189', 'loss/entropy': '2.734480', 'loss/total': '0.258150'}
2026-08-23 14:48:41 | DEBUG    | src.rl_lib.tracking.console_logger | Step 9016: {'episode/returns': '-16.528616', 'episode/lengths': '1000.000000'}
2026-08-23 14:48:59 | DEBUG    | src.rl_lib.tracking.console_logger | Step 560: {'rollout/returns': '-1.512161', 'rollout/advantages': '0.201300'}
2026-08-23 14:49:05 | DEBUG    | src.rl_lib.tracking.console_logger | Step 576: {'metrics/approx_kl': '0.007585', 'loss/actor': '-0.005212', 'loss/critic': '0.933774', 'metrics/entropy_0': '0.906313', 'metrics/entropy_1': '0.903404', 'metrics/entropy_2': '0.921665', 'loss/entropy': '2.731382', 'loss/total': '0.458943'}
2026-08-23 14:49:30 | DEBUG    | src.rl_lib.tracking.console_logger | Step 576: {'rollout/returns': '-2.415256', 'rollout/advantages': '-1.428342'}
2026-08-23 14:49:36 | DEBUG    | src.rl_lib.tracking.console_logger | Step 592: {'metrics/approx_kl': '0.009971', 'loss/actor': '-0.010130', 'loss/critic': '0.417701', 'metrics/entropy_0': '0.906257', 'metrics/entropy_1': '0.900733', 'metrics/entropy_2': '0.920749', 'loss/entropy': '2.727739', 'loss/total': '0.195993'}
2026-08-23 14:49:40 | DEBUG    | src.rl_lib.tracking.console_logger | Step 9517: {'episode/returns': '-30.430001', 'episode/lengths': '1000.000000'}
2026-08-23 14:49:59 | DEBUG    | src.rl_lib.tracking.console_logger | Step 592: {'rollout/returns': '-1.436379', 'rollout/advantages': '1.153261'}
2026-08-23 14:50:06 | DEBUG    | src.rl_lib.tracking.console_logger | Step 608: {'metrics/approx_kl': '0.007545', 'loss/actor': '-0.011660', 'loss/critic': '0.797522', 'metrics/entropy_0': '0.907477', 'metrics/entropy_1': '0.899536', 'metrics/entropy_2': '0.919958', 'loss/entropy': '2.726971', 'loss/total': '0.384374'}
2026-08-23 14:50:28 | DEBUG    | src.rl_lib.tracking.console_logger | Step 608: {'rollout/returns': '-3.541063', 'rollout/advantages': '-2.177334'}
2026-08-23 14:50:32 | DEBUG    | src.rl_lib.tracking.console_logger | Step 624: {'metrics/approx_kl': '0.013209', 'loss/actor': '0.003196', 'loss/critic': '0.868851', 'metrics/entropy_0': '0.908762', 'metrics/entropy_1': '0.900644', 'metrics/entropy_2': '0.920530', 'loss/entropy': '2.729935', 'loss/total': '0.434892'}
2026-08-23 14:50:36 | DEBUG    | src.rl_lib.tracking.console_logger | Step 10018: {'episode/returns': '-26.218819', 'episode/lengths': '1000.000000'}
2026-08-23 14:50:56 | DEBUG    | src.rl_lib.tracking.console_logger | Step 624: {'rollout/returns': '-1.332174', 'rollout/advantages': '1.590476'}
2026-08-23 14:51:01 | DEBUG    | src.rl_lib.tracking.console_logger | Step 640: {'metrics/approx_kl': '0.010110', 'loss/actor': '-0.000688', 'loss/critic': '0.885288', 'metrics/entropy_0': '0.908491', 'metrics/entropy_1': '0.899856', 'metrics/entropy_2': '0.920186', 'loss/entropy': '2.728534', 'loss/total': '0.439227'}
2026-08-23 14:51:22 | DEBUG    | src.rl_lib.tracking.console_logger | Step 640: {'rollout/returns': '-3.439903', 'rollout/advantages': '-2.386376'}
2026-08-23 14:51:28 | DEBUG    | src.rl_lib.tracking.console_logger | Step 656: {'metrics/approx_kl': '0.016168', 'loss/actor': '0.001398', 'loss/critic': '0.312331', 'metrics/entropy_0': '0.908806', 'metrics/entropy_1': '0.898837', 'metrics/entropy_2': '0.919539', 'loss/entropy': '2.727182', 'loss/total': '0.154836'}
2026-08-23 14:51:30 | DEBUG    | src.rl_lib.tracking.console_logger | Step 10519: {'episode/returns': '-22.563766', 'episode/lengths': '1000.000000'}
2026-08-23 14:51:50 | DEBUG    | src.rl_lib.tracking.console_logger | Step 656: {'rollout/returns': '-1.602384', 'rollout/advantages': '1.970123'}
2026-08-23 14:51:57 | DEBUG    | src.rl_lib.tracking.console_logger | Step 672: {'metrics/approx_kl': '0.014285', 'loss/actor': '-0.007664', 'loss/critic': '1.437549', 'metrics/entropy_0': '0.909091', 'metrics/entropy_1': '0.898920', 'metrics/entropy_2': '0.919471', 'loss/entropy': '2.727482', 'loss/total': '0.708383'}
2026-08-23 14:52:29 | DEBUG    | src.rl_lib.tracking.console_logger | Step 672: {'rollout/returns': '-3.692986', 'rollout/advantages': '-1.738652'}
2026-08-23 14:52:47 | DEBUG    | src.rl_lib.tracking.console_logger | Step 688: {'metrics/approx_kl': '0.008983', 'loss/actor': '-0.001696', 'loss/critic': '0.861420', 'metrics/entropy_0': '0.910185', 'metrics/entropy_1': '0.898145', 'metrics/entropy_2': '0.918932', 'loss/entropy': '2.727262', 'loss/total': '0.426286'}
2026-08-23 14:52:49 | DEBUG    | src.rl_lib.tracking.console_logger | Step 11020: {'episode/returns': '-7.923035', 'episode/lengths': '1000.000000'}
2026-08-23 14:53:13 | DEBUG    | src.rl_lib.tracking.console_logger | Step 688: {'rollout/returns': '-0.772096', 'rollout/advantages': '2.756421'}
2026-08-23 14:53:23 | DEBUG    | src.rl_lib.tracking.console_logger | Step 704: {'metrics/approx_kl': '0.019335', 'loss/actor': '-0.009019', 'loss/critic': '1.726335', 'metrics/entropy_0': '0.911530', 'metrics/entropy_1': '0.899031', 'metrics/entropy_2': '0.917669', 'loss/entropy': '2.728231', 'loss/total': '0.851420'}
2026-08-23 14:53:42 | DEBUG    | src.rl_lib.tracking.console_logger | Step 704: {'rollout/returns': '-4.891585', 'rollout/advantages': '-2.033867'}
2026-08-23 14:53:48 | DEBUG    | src.rl_lib.tracking.console_logger | Step 720: {'metrics/approx_kl': '0.022733', 'loss/actor': '-0.000370', 'loss/critic': '1.031145', 'metrics/entropy_0': '0.912356', 'metrics/entropy_1': '0.899887', 'metrics/entropy_2': '0.917138', 'loss/entropy': '2.729381', 'loss/total': '0.512473'}
2026-08-23 14:53:48 | DEBUG    | src.rl_lib.tracking.console_logger | Step 11521: {'episode/returns': '-0.371159', 'episode/lengths': '1000.000000'}
2026-08-23 14:54:08 | DEBUG    | src.rl_lib.tracking.console_logger | Step 720: {'rollout/returns': '-2.554145', 'rollout/advantages': '1.740897'}
2026-08-23 14:54:14 | DEBUG    | src.rl_lib.tracking.console_logger | Step 736: {'metrics/approx_kl': '0.022875', 'loss/actor': '-0.001160', 'loss/critic': '1.039268', 'metrics/entropy_0': '0.913152', 'metrics/entropy_1': '0.899528', 'metrics/entropy_2': '0.917472', 'loss/entropy': '2.730152', 'loss/total': '0.515743'}
2026-08-23 14:54:35 | DEBUG    | src.rl_lib.tracking.console_logger | Step 12022: {'episode/returns': '0.612423', 'episode/lengths': '1000.000000'}
